label,positive,negative
T cell,CD3D;CD3E;TRAC;LCK;IL32,MS4A1;CD79A;LST1;COL1A1;EPCAM
NK,NKG7;GNLY;PRF1;KLRD1;FCER1G,CD3D;CD3E;TRAC;MS4A1
B cell,MS4A1;CD79A;CD74;CD37;HLA-DRA;CD22,CD3D;CD3E;LST1;NKG7
Plasma cell,MZB1;JCHAIN;XBP1;DERL3;SDC1;TNFRSF17;PRDM1,CD3D;LST1;COL1A1
Monocyte,LST1;LILRB1;CTSS;TYMP;FCN1;S100A8;S100A9,CD3D;MS4A1;COL1A1
Macrophage,C1QA;C1QB;C1QC;APOE;CD68;MRC1,CD3D;MS4A1
Dendritic cell,FCER1A;CD1C;CLEC10A;CST3;HLA-DRA,MZB1;XBP1;DERL3
pDC-like,GZMB;TCF4;IL3RA;CLEC4C;JCHAIN,MZB1;XBP1;DERL3
Neutrophil,FCGR3B;CSF3R;FPR1;S100A8;S100A9,CD3D;MS4A1;COL1A1
Mast cell,TPSAB1;TPSB2;KIT;CPA3;MS4A2,CD3D;MS4A1
Erythroid,HBB;HBA1;HBA2;ALAS2;GYPA,PTPRC;COL1A1;EPCAM
Megakaryocyte/platelet,PPBP;PF4;NRGN;GP9,PECAM1;VWF;LST1
Endothelial,PECAM1;VWF;EMCN;KDR;RAMP2,COL1A1;COL1A2;DCN;LUM
Fibroblast,COL1A1;COL1A2;DCN;LUM;COL3A1;COL6A1,PECAM1;VWF;EPCAM;KRT8
Pericyte/smooth muscle,RGS5;CSPG4;MCAM;ACTA2;TAGLN,PECAM1;VWF;COL1A1
Epithelial,EPCAM;KRT8;KRT18;KRT19;KRT7,PTPRC;COL1A1;PECAM1
